Part1,Part2,Part3,Part4,Part5,Formatting
1.75,1.75,2.0,1.75,2.75,2.0
2.25,1.5,2.0,2.5,2.0,2.0
3.0,3.0,3.0,2.5,3.0,2.75
2.5,1.75,2.25,3.0,2.5,2.0
2.5,1.75,2.0,1.5,2.5,2.5
2.75,2.5,3.0,2.0,1.5,2.25
3.0,3.0,3.0,3.0,3.25,3.0
2.0,1.75,2.5,2.5,2.5,2.0
2.5,2.5,2.0,2.25,2.0,2.25
2.5,2.75,1.5,2.5,3.0,1.75
3.0,3.0,2.75,3.0,2.5,3.0
2.25,1.75,2.0,2.5,1.5,2.0
3.0,2.75,2.0,1.5,1.0,2.5
3.0,2.5,3.0,2.0,2.0,2.0
1.5,2.0,1.5,2.0,2.0,1.25
2.0,1.75,1.75,2.75,2.75,1.5
2.0,2.75,1.5,3.0,1.75,2.0
1.0,1.0,0.75,1.0,1.75,0.75
3.0,3.0,3.0,3.0,3.0,3.0
2.0,2.0,2.0,2.0,2.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.75,3.0,2.5,3.0,3.0
2.5,3.0,3.0,2.0,2.0,2.0
2.5,2.5,3.0,2.75,2.0,2.0
3.0,2.5,3.0,2.0,2.0,2.5
1.0,2.0,1.75,1.0,0.75,1.0
2.5,2.5,2.75,2.5,3.0,2.0
2.5,1.75,2.5,2.0,2.0,1.5
2.5,3.0,3.0,3.0,3.0,2.75
2.5,2.75,2.75,2.5,3.0,2.75
3.0,3.0,3.0,3.0,3.0,3.0
2.25,2.0,2.25,2.25,3.0,2.5
2.5,1.5,2.0,2.5,2.0,2.0
2.5,3.0,2.0,2.0,2.0,2.5
2.5,2.25,1.5,2.0,1.75,2.25
2.75,1.75,1.75,1.75,2.0,2.0
1.25,1.5,1.5,2.0,2.25,1.5
1.5,1.75,2.0,2.75,2.25,2.0
1.75,1.0,2.75,2.75,2.5,1.75
2.0,2.0,2.25,1.5,1.5,2.0
2.5,1.5,2.5,2.25,2.5,2.0
2.5,2.0,2.75,2.5,2.5,2.5
2.5,1.5,1.5,1.0,0.75,1.5
2.5,3.0,2.5,2.5,3.0,2.5
1.75,1.0,2.25,1.5,2.0,1.75
2.5,3.0,3.0,2.5,3.0,2.0
3.0,2.0,2.25,2.5,2.0,2.0
2.5,3.0,2.5,2.5,3.0,3.0
2.5,2.75,2.0,2.5,2.75,1.75
2.5,2.0,2.75,1.0,2.0,2.5
2.0,1.0,1.5,1.25,1.5,1.5
2.0,1.5,1.5,2.75,2.0,1.5
3.0,3.0,3.0,3.0,3.0,3.0
2.75,2.5,2.25,2.5,1.5,1.5
3.0,2.5,3.0,2.75,2.75,1.75
1.5,1.75,2.25,2.5,3.0,2.5
2.75,3.0,3.0,2.5,3.0,2.75
3.0,2.0,2.25,3.0,3.0,2.0
3.0,3.0,2.5,2.75,3.0,2.5
3.0,2.0,3.0,2.0,2.5,1.5
2.75,3.0,2.5,2.5,2.75,3.0
2.75,2.5,2.5,2.0,2.5,2.75
3.0,3.0,3.0,3.0,3.0,3.0
2.0,2.0,2.0,2.0,2.0,2.25
2.5,0.75,1.75,1.5,2.0,1.5
3.0,2.5,2.0,2.0,2.0,3.0
3.0,2.75,3.0,3.0,3.0,3.0
2.5,3.0,3.0,3.0,2.5,2.0
2.5,2.5,2.75,3.0,1.25,2.0
2.5,2.5,2.5,2.75,3.0,2.5
3.0,3.35,2.75,3.0,3.0,2.0
2.0,2.0,1.75,2.5,1.75,2.0
3.0,2.0,2.25,2.5,2.0,2.5
2.0,1.0,2.0,2.5,2.0,2.0
3.0,3.0,3.0,2.75,2.5,2.75
1.5,2.0,1.75,2.0,1.5,1.75
3.0,2.0,2.0,2.5,3.0,2.0
2.75,1.5,2.5,3.0,3.0,2.0
2.5,1.5,1.75,1.5,2.0,1.75
